Слово: подошел           	 Количество повторов: 193
Слово: дома              	 Количество повторов: 193
Слово: могла             	 Количество повторов: 192
Слово: смотрел           	 Количество повторов: 192
Слово: москвы            	 Количество повторов: 191
Слово: одна              	 Количество повторов: 190
Слово: графа             	 Количество повторов: 189
Слово: этим              	 Количество повторов: 188
Слово: чувствовал        	 Количество повторов: 186
Слово: петя              	 Количество повторов: 186
Слово: никто             	 Количество повторов: 182
Слово: одной             	 Количество повторов: 182
Слово: генерал           	 Количество повторов: 182
Слово: говорит           	 Количество повторов: 181
Слово: совсем            	 Количество повторов: 180
Слово: ведь              	 Количество повторов: 180
Слово: старый            	 Количество повторов: 180
Слово: улыбаясь          	 Количество повторов: 179
Слово: свой              	 Количество повторов: 179
Слово: борис             	 Количество повторов: 179
Слово: солдаты           	 Количество повторов: 179
Слово: двери             	 Количество повторов: 178
Слово: первый            	 Количество повторов: 177
Слово: тотчас            	 Количество повторов: 177
Слово: письмо            	 Количество повторов: 177
Слово: точно             	 Количество повторов: 177
Слово: князю             	 Количество повторов: 176
Слово: против            	 Количество повторов: 175
Слово: разговор          	 Количество повторов: 175
Слово: стоял             	 Количество повторов: 174
Слово: тебя              	 Количество повторов: 174
Слово: почти             	 Количество повторов: 173
Слово: здесь             	 Количество повторов: 173
Слово: такое             	 Количество повторов: 173
Слово: могу              	 Количество повторов: 173
Слово: долго             	 Количество повторов: 173
Слово: какой             	 Количество повторов: 172
Слово: отца              	 Количество повторов: 171
Слово: своем             	 Количество повторов: 170
Слово: давно             	 Количество повторов: 170
Слово: делать            	 Количество повторов: 170
Слово: лице              	 Количество повторов: 169
Слово: видеть            	 Количество повторов: 168
Слово: других            	 Количество повторов: 168
Слово: пошел             	 Количество повторов: 168
Слово: особенно          	 Количество повторов: 167
Слово: другие            	 Количество повторов: 167
Слово: быстро            	 Количество повторов: 167
Слово: василий           	 Количество повторов: 166
Слово: которым           	 Количество повторов: 165
Слово: элен              	 Количество повторов: 165
Слово: голосом           	 Количество повторов: 165
Слово: лошадь            	 Количество повторов: 163
Слово: вопрос            	 Количество повторов: 161
Слово: москву            	 Количество повторов: 160
Слово: обратился         	 Количество повторов: 159
Слово: французы          	 Количество повторов: 158
Слово: ростова           	 Количество повторов: 158
Слово: друга             	 Количество повторов: 157
Слово: головой           	 Количество повторов: 157
Слово: своему            	 Количество повторов: 156
Слово: выражение         	 Количество повторов: 154
Слово: сейчас            	 Количество повторов: 153
Слово: своими            	 Количество повторов: 152
Слово: должно            	 Количество повторов: 152
Слово: такой             	 Количество повторов: 152
Слово: кого              	 Количество повторов: 151
Слово: комнаты           	 Количество повторов: 151
Слово: проговорил        	 Количество повторов: 151
Слово: лошади            	 Количество повторов: 151
Слово: впереди           	 Количество повторов: 150
Слово: стороны           	 Количество повторов: 150
Слово: видно             	 Количество повторов: 149
Слово: дела              	 Количество повторов: 149
Слово: продолжал         	 Количество повторов: 147
Слово: лицом             	 Количество повторов: 147
Слово: ехать             	 Количество повторов: 146
Слово: подумал           	 Количество повторов: 146
Слово: наташи            	 Количество повторов: 146
Слово: приехал           	 Количество повторов: 145
Слово: сидел             	 Количество повторов: 145
Слово: весь              	 Количество повторов: 144
Слово: сделал            	 Количество повторов: 144
Слово: лучше             	 Количество повторов: 144
Слово: анатоль           	 Количество повторов: 141
Слово: силы              	 Количество повторов: 140
Слово: кутузова          	 Количество повторов: 139
Слово: дверь             	 Количество повторов: 139
Слово: остановился       	 Количество повторов: 138
Слово: прямо             	 Количество повторов: 138
Слово: отец              	 Количество повторов: 137
Слово: вокруг            	 Количество повторов: 137
Слово: место             	 Количество повторов: 136
Слово: положение         	 Количество повторов: 136
Слово: вошел             	 Количество повторов: 135
Слово: мысли             	 Количество повторов: 135
Слово: стали             	 Количество повторов: 134
Слово: нынче             	 Количество повторов: 133
Слово: чтоб              	 Количество повторов: 133
Слово: таким             	 Количество повторов: 133
Слово: отчего            	 Количество повторов: 133
Слово: войны             	 Количество повторов: 132
Слово: зачем             	 Количество повторов: 132
Слово: говорят           	 Количество повторов: 132
Слово: взял              	 Количество повторов: 132
Слово: двух              	 Количество повторов: 131
Слово: стояли            	 Количество повторов: 131
Слово: иногда            	 Количество повторов: 130
Слово: комнате           	 Количество повторов: 130
Слово: поехал            	 Количество повторов: 130
Слово: думала            	 Количество повторов: 129
Слово: адъютант          	 Количество повторов: 129
Слово: самое             	 Количество повторов: 129
Слово: подле             	 Количество повторов: 129
Слово: русских           	 Количество повторов: 129
Слово: любви             	 Количество повторов: 129
Слово: руками            	 Количество повторов: 128
Слово: сторон            	 Количество повторов: 128
Слово: денисова          	 Количество повторов: 128
Слово: комнату           	 Количество повторов: 127
Слово: глаз              	 Количество повторов: 126
Слово: русские           	 Количество повторов: 126
